token,mean_sentiment_rating,standard deviation
abandon,-1.9,0.53852
abandoned,-2.0,1.09545
abandoner,-1.9,0.83066
abandoners,-1.9,0.83066
abandoning,-1.6,0.8
abandonment,-2.4,1.0198
abandonments,-1.7,0.45826
abducted,-2.3,1.18743
abduction,-2.8,0.87178
abductions,-2.0,1.41421
abhor,-2.0,1.09545
abhorred,-2.4,1.49666
abhorrent,-3.1,1.3
absolved,1.5,0.92195
absolving,1.6,0.8
abuse,-3.2,0.6
abused,-2.3,0.64031
abuser,-2.6,0.4899
abusers,-2.6,1.0198
abuses,-2.6,0.66332
abusing,-2.0,1.41421
abusive,-3.2,0.74833
abusively,-2.8,0.6
abusiveness,-2.5,0.92195
abusivenesses,-3.0,0.63246
accept,1.6,0.91652
acceptabilities,1.6,0.66332
acceptably,1.5,0.67082
acceptance,2.0,0.63246
acceptances,1.7,0.78102
acceptant,1.6,0.8
accepting,1.6,0.66332
accident,-2.1,0.83066
accomplish,1.8,0.6
accomplished,1.9,0.53852
accomplishes,1.7,0.9
ache,-1.6,1.2
ached,-1.6,0.8
aching,-2.2,0.74833
active,1.7,1.26886
admirability,2.4,0.4899
admirable,2.6,0.66332
admirableness,2.2,0.87178
admirably,2.5,0.67082
admirals,1.5,0.80623
admiralties,1.6,0.66332
admiration,2.5,0.80623
admirations,1.6,0.66332
admire,2.1,0.83066
admired,2.3,0.78102
admirer,1.8,0.74833
admirers,1.7,1.00499
admires,1.5,0.67082
admiring,1.6,0.8
admiringly,2.3,0.64031
admonished,-1.9,0.9434
adorability,2.2,0.74833
adorable,2.2,0.6
adorableness,2.5,0.67082
adorably,2.1,0.7
adoration,2.9,0.7
adorations,2.2,0.87178
adore,2.6,0.91652
adored,1.8,0.87178
adorer,1.7,1.1
adorers,2.1,0.7
adores,1.6,0.66332
adoring,2.6,0.66332
adoringly,2.4,0.8
advantageous,1.5,0.67082
advantageously,1.9,0.53852
advantageousness,1.6,1.28062
advantages,1.5,0.80623
advantaging,1.6,0.66332
adventuresome,1.7,1.1
adventuring,2.3,0.78102
adventurism,1.5,0.67082
adventuristic,1.7,0.64031
adventurousness,1.8,0.87178
adversarial,-1.5,0.92195
adverse,-1.5,0.80623
adversities,-1.5,0.67082
adversity,-1.8,0.6
affection,2.4,0.8
affectional,1.9,1.04403
affectionally,1.5,0.92195
affectionate,1.9,1.13578
affectionately,2.2,0.87178
affectioned,1.8,0.4
affectionless,-2.0,0.44721
affections,1.5,1.11803
afflicted,-1.5,1.0247
aggravate,-2.5,0.80623
aggravated,-1.9,1.04403
aggravates,-1.9,0.83066
aggressiveness,-1.8,0.74833
aghast,-1.9,1.04403
agitate,-1.7,0.64031
agitated,-2.0,0.63246
agitatedly,-1.6,0.8
agitating,-1.8,0.87178
agitators,-2.1,0.9434
agog,1.9,0.7
agonise,-2.1,0.9434
agonised,-2.3,0.64031
agonises,-2.4,0.91652
agonising,-1.5,1.43178
agonize,-2.3,0.9
agonized,-2.2,1.249
agonizes,-2.3,1.18743
agonizing,-2.7,0.78102
agonizingly,-2.3,1.48661
agony,-1.8,1.16619
agree,1.5,1.11803
agreeability,1.9,1.04403
agreeable,1.8,0.4
agreeableness,1.8,0.9798
agreeably,1.6,0.4899
agreement,2.2,0.74833
alarmingly,-2.6,0.91652
alive,1.6,0.8
amaze,2.5,1.0247
amazed,2.2,1.07703
amazedly,2.1,0.53852
amazement,2.5,0.80623
amazements,2.2,0.87178
amazes,2.2,0.9798
amazing,2.8,0.87178
ambitious,2.1,0.53852
amor,3.0,0.63246
amoral,-1.6,0.66332
amorality,-1.5,0.92195
amorist,1.6,1.0198
amoroso,2.3,0.78102
amorous,1.8,0.9798
amorously,2.3,0.78102
amorousness,2.0,0.89443
amort,-2.1,0.83066
amuse,1.7,0.78102
amused,1.8,0.6
amusedly,2.2,0.74833
amusement,1.5,1.11803
amusements,1.5,1.0247
amuses,1.7,0.64031
amusing,1.6,0.91652
amusingness,1.8,0.6
amusive,1.7,1.1
anger,-2.7,1.18743
angered,-2.3,0.78102
angering,-2.2,0.6
angerly,-1.9,0.53852
angers,-2.3,0.9
angrier,-2.3,0.64031
angriest,-3.1,0.83066
angrily,-1.8,0.4
angriness,-1.7,0.64031
anguish,-2.9,0.83066
anguished,-1.8,1.4
anguishes,-2.1,1.44568
anguishing,-2.7,0.9
annoy,-1.9,0.53852
annoyances,-1.8,0.6
annoyed,-1.6,1.11355
annoyer,-2.2,0.87178
annoyers,-1.5,1.0247
annoying,-1.7,0.64031
annoys,-1.8,0.6
antagonism,-1.9,1.04403
antagonist,-1.9,0.7
antagonistic,-1.7,0.9
antagonistically,-2.2,0.87178
antagonists,-1.7,0.64031
antagonize,-2.0,0.44721
antagonizing,-2.7,0.64031
aok,2.0,0.89443
apocalyptic,-3.4,0.66332
apologise,1.6,0.66332
apologizes,1.5,0.80623
appall,-2.4,0.66332
appalled,-2.0,0.63246
appalling,-1.5,1.5
appalls,-1.9,1.37477
applaud,2.0,0.63246
applauded,1.5,0.5
applauding,2.1,0.83066
applause,1.8,0.6
appreciate,1.7,0.78102
appreciated,2.3,0.78102
appreciates,2.3,0.9
appreciating,1.9,0.7
appreciation,2.3,0.9
appreciations,1.7,0.78102
appreciative,2.6,0.8
appreciatively,1.8,0.6
appreciativeness,1.6,0.8
appreciator,2.6,0.8
appreciators,1.5,0.80623
appreciatory,1.7,0.78102
apprehension,-2.1,0.83066
approval,2.1,0.53852
approved,1.8,0.6
approves,1.7,0.64031
ardent,2.1,0.7
argued,-1.5,0.5
arguer,-1.6,0.4899
argues,-1.6,0.4899
arguing,-2.0,0.63246
argument,-1.5,0.80623
argumentative,-1.5,0.67082
argumentatively,-1.8,0.9798
argumentive,-1.5,0.80623
arguments,-1.7,0.64031
arrested,-2.1,1.04403
arrests,-1.9,0.83066
arrogance,-2.4,0.66332
arrogances,-1.9,0.53852
arrogant,-2.2,0.6
arrogantly,-1.8,1.4
ashamed,-2.1,1.3
ashamedly,-1.7,0.64031
ass,-2.5,1.43178
assassination,-2.9,0.9434
assassinations,-2.7,1.34536
assault,-2.8,0.9798
assaulted,-2.4,1.28062
assaulting,-2.3,1.1
assaultive,-2.8,0.87178
assaults,-2.5,0.92195
asset,1.5,0.80623
assfucking,-2.5,1.43178
assholes,-2.8,0.74833
assured,1.5,0.67082
assuredly,1.6,0.66332
assuring,1.6,0.66332
astonished,1.6,0.8
astound,1.7,1.26886
astounded,1.8,0.9798
astounding,1.8,1.4
astoundingly,2.1,1.44568
astounds,2.1,1.22066
attack,-2.1,0.83066
attacker,-2.7,0.9
attackers,-2.7,0.64031
attacking,-2.0,0.89443
attacks,-1.9,0.9434
attract,1.5,0.92195
attracted,1.8,0.6
attracting,2.1,0.83066
attraction,2.0,0.7746
attractions,1.8,0.87178
attractive,1.9,0.53852
attractively,2.2,0.6
attractiveness,1.8,1.16619
attractivenesses,2.1,0.7
attracts,1.7,1.00499
aversion,-1.9,1.04403
aversive,-1.6,0.66332
avoidance,-1.7,0.45826
avoider,-1.8,0.6
award,2.5,0.92195
awardable,2.4,0.8
awarded,1.7,0.78102
awardee,1.8,0.6
awarding,1.9,0.7
awards,2.0,0.44721
awesome,3.1,0.83066
badly,-2.1,0.7
bamboozle,-1.5,1.0247
bamboozled,-1.5,1.11803
bamboozles,-1.5,1.0247
ban,-2.6,1.0198
banish,-1.9,0.9434
bankrupt,-2.6,1.0198
bankster,-2.1,0.53852
banned,-2.0,1.0
bastard,-2.5,0.67082
bastardies,-1.8,0.87178
bastardise,-2.1,0.83066
bastardised,-2.3,0.9
bastardises,-2.3,1.18743
bastardising,-2.6,0.8
bastardization,-2.4,1.28062
bastardizations,-2.1,0.7
bastardize,-2.4,0.66332
bastardized,-2.0,0.7746
bastardizes,-1.8,0.87178
bastardizing,-2.3,0.9
bastardly,-2.7,0.64031
bastards,-3.0,0.63246
bastardy,-2.7,1.1
battle,-1.6,1.28062
battlefield,-1.6,0.8
battleground,-1.7,0.78102
battles,-1.6,0.4899
beaten,-1.8,0.6
beating,-2.0,0.63246
beaut,1.6,1.2
beauteous,2.5,1.0247
beauteously,2.6,0.8
beauteousness,2.7,1.00499
beauties,2.4,0.8
beautification,1.9,0.7
beautifications,2.4,0.8
beautified,2.1,0.7
beautifier,1.7,0.64031
beautifiers,1.7,0.78102
beautifies,1.8,0.74833
beautiful,2.9,0.7
beautifuler,2.1,0.83066
beautifulest,2.6,0.8
beautifully,2.7,0.64031
beautifulness,2.6,0.8
beautify,2.3,0.45826
beautifying,2.3,0.78102
beauts,1.7,0.78102
beauty,2.8,0.74833
belittle,-1.9,0.53852
belittled,-2.0,1.0
beloved,2.3,0.45826
beneficence,2.8,0.87178
beneficences,1.5,0.67082
beneficent,2.3,0.45826
beneficently,2.2,0.6
beneficial,1.9,0.53852
beneficially,2.4,0.8
beneficialness,1.7,0.64031
beneficiaries,1.8,1.16619
beneficiary,2.1,0.83066
benefit,2.0,0.63246
benefits,1.6,0.4899
benefitted,1.7,0.64031
benefitting,1.9,0.7
benevolence,1.7,1.1
benevolent,2.7,0.78102
benignant,2.2,0.9798
bereave,-2.1,1.13578
bereaved,-2.1,0.9434
bereaves,-1.9,1.22066
best,3.2,0.6
betray,-3.2,0.6
betrayal,-2.8,0.74833
betrayed,-3.0,0.63246
betraying,-2.5,0.67082
betrays,-2.5,0.67082
bitch,-2.8,0.87178
bitched,-2.6,1.0198
bitcheries,-2.3,0.78102
bitchery,-2.7,1.18743
bitches,-2.9,0.9434
bitchier,-2.0,0.63246
bitchiest,-3.0,0.7746
bitchily,-2.6,1.11355
bitchiness,-2.6,0.66332
bitchy,-2.3,1.00499
bitter,-1.8,0.4
bittered,-1.8,1.07703
bitterer,-1.9,1.04403
bitterest,-2.3,1.41774
bitterish,-1.6,0.8
bitterly,-2.0,0.63246
bitterness,-1.7,0.45826
blamable,-1.8,0.4
blamably,-1.8,0.4
blamed,-2.1,0.53852
blameful,-1.7,0.45826
blamefully,-1.6,0.66332
blamer,-2.1,0.83066
blamers,-2.0,0.63246
blames,-1.7,0.45826
blameworthiness,-1.6,0.66332
blameworthy,-2.3,0.78102
blaming,-2.2,0.6
bless,1.8,0.6
blessed,2.9,0.3
blesseder,2.0,0.63246
blessedest,2.8,0.87178
blessedly,1.7,1.1
blessedness,1.6,1.35647
blesser,2.6,0.66332
blessers,1.9,0.7
blesses,2.6,0.66332
blessing,2.2,1.07703
blessings,2.5,0.92195
blind,-1.7,1.00499
bliss,2.7,0.78102
blissful,2.9,0.83066
block,-1.9,1.13578
blockbuster,2.9,0.9434
blocking,-1.6,0.91652
bloody,-1.9,0.7
bold,1.6,0.66332
boldest,1.6,1.11355
boldness,1.5,1.0247
bomb,-2.2,0.87178
bonus,2.5,0.67082
bonuses,2.6,0.91652
boost,1.7,0.64031
boosted,1.5,1.5
botheration,-1.7,0.64031
bothering,-1.6,0.4899
boycotted,-1.7,0.64031
boycotting,-1.7,0.64031
brainwashing,-1.5,1.28452
brave,2.4,0.8
braved,1.9,0.83066
bravely,2.3,0.78102
braver,2.4,0.8
braveries,2.0,1.0
bravery,2.2,0.74833
braves,1.9,0.83066
bravest,2.3,0.64031
breathtaking,2.0,1.26491
bright,1.9,0.7
brighten,1.9,0.7
brightened,2.1,0.83066
brightening,2.5,0.92195
brightens,1.5,0.5
brighter,1.6,0.66332
brightest,3.0,0.63246
brightly,1.5,0.67082
brightness,1.6,0.91652
brilliance,2.9,0.83066
brilliances,2.9,0.83066
brilliancies,2.3,1.18743
brilliancy,2.6,1.0198
brilliant,2.8,0.6
brilliantines,2.0,1.34164
brilliantly,3.0,0.44721
brilliants,1.9,0.83066
broke,-1.8,0.4
broken,-2.1,0.53852
brutal,-3.1,0.7
brutalise,-2.7,1.1
brutalised,-2.9,0.83066
brutalises,-3.2,0.4
brutalising,-2.8,0.74833
brutalities,-2.6,1.0198
brutality,-3.0,0.63246
brutalizations,-2.3,0.64031
brutalize,-2.9,0.7
brutalized,-2.4,0.4899
brutalizes,-3.2,0.6
brutalizing,-3.4,0.66332
brutally,-3.0,0.44721
bullied,-3.1,0.9434
bullshit,-2.8,0.6
bullying,-2.9,0.7
bummer,-1.6,0.8
burden,-1.9,0.53852
burdened,-1.7,0.45826
burdeners,-1.7,1.00499
burdens,-1.5,0.5
burdensome,-1.8,0.9798
bwahahah,2.5,0.92195
calmed,1.6,0.4899
calmer,1.5,0.67082
calmest,1.6,0.8
calming,1.7,0.78102
calmness,1.7,0.9
calmnesses,1.6,0.4899
can't stand,-2.0,0.63246
cancer,-3.4,0.8
capable,1.6,0.4899
captivated,1.6,0.4899
care,2.2,0.74833
cared,1.8,0.74833
carefree,1.7,0.64031
carefulness,2.0,0.44721
careless,-1.5,0.5
carelessnesses,-1.6,1.11355
cares,2.0,0.7746
caring,2.2,0.4
casualty,-2.4,0.91652
catastrophe,-3.4,0.4899
celebrate,2.7,1.00499
celebrated,2.7,0.78102
celebrates,2.7,0.64031
celebrating,2.7,0.64031
censor,-2.0,1.34164
chagrin,-1.9,0.53852
champ,2.1,0.83066
champion,2.9,0.83066
championing,1.8,0.9798
champions,2.4,1.42829
championship,1.9,1.04403
championships,2.2,0.74833
champs,1.8,0.4
chaos,-2.7,0.9
chaotic,-2.2,1.4
charitable,1.7,0.64031
charitableness,1.9,0.9434
charities,2.2,0.6
charity,1.8,0.87178
charm,1.7,0.78102
charmed,2.0,0.63246
charmer,1.9,0.53852
charmers,2.1,0.83066
charming,2.8,0.4
charminger,1.5,0.67082
charmingest,2.4,0.66332
charmingly,2.2,0.87178
charmless,-1.8,0.87178
charms,1.9,0.7
chastise,-2.5,0.92195
chastised,-2.2,1.16619
chastising,-1.7,0.78102
cheat,-2.0,0.7746
cheated,-2.3,0.64031
cheater,-2.5,0.67082
cheaters,-1.9,0.83066
cheating,-2.6,0.91652
cheats,-1.8,0.6
cheer,2.3,0.64031
cheered,2.3,0.78102
cheerer,1.7,0.45826
cheerers,1.8,0.87178
cheerful,2.5,0.67082
cheerfuller,1.9,0.83066
cheerfullest,3.2,0.87178
cheerfully,2.1,0.83066
cheerfulness,2.1,0.9434
cheerier,2.6,0.4899
cheeriest,2.2,0.6
cheerily,2.5,0.67082
cheeriness,2.5,0.67082
cheering,2.3,0.64031
cheerlead,1.7,0.78102
cheerled,1.5,1.11803
cheerless,-1.7,1.1
cheerlessness,-1.7,1.48661
cheerly,2.4,0.66332
cheers,2.1,1.3
cheery,2.6,0.66332
cherish,1.6,1.49666
cherishable,2.0,1.41421
cherished,2.3,0.64031
cherisher,2.2,0.4
cherishers,1.9,0.7
cherishes,2.2,0.74833
cherishing,2.0,0.7746
choke,-2.5,0.92195
choked,-2.1,1.3
chokes,-2.0,0.89443
choking,-2.0,1.26491
chuckle,1.7,0.45826
chucklehead,-1.9,0.53852
clarity,1.7,0.78102
classy,1.9,0.53852
clean,1.7,0.78102
clear,1.6,1.2
clearly,1.7,0.78102
clever,2.0,0.7746
cleverer,2.0,0.44721
cleverest,2.6,0.91652
cleverly,2.3,0.45826
cleverness,2.3,0.9
clueless,-1.5,0.5
cocksucker,-3.1,0.83066
cocksuckers,-2.6,1.42829
coerced,-1.5,0.67082
collapse,-2.2,0.87178
collision,-1.5,0.67082
comedian,1.6,1.0198
comedic,1.7,0.64031
comedically,2.1,0.7
comediennes,1.6,1.11355
comedies,1.7,1.00499
comedy,1.5,0.67082
comfort,1.5,0.67082
comfortable,2.3,0.64031
comfortably,1.8,0.74833
comforted,1.8,0.6
comforter,1.9,0.53852
comforting,1.7,0.64031
comfortingly,1.7,0.45826
comfortless,-1.8,0.6
comforts,2.1,0.7
commend,1.9,0.7
commended,1.9,0.9434
commitment,1.6,0.91652
compassion,2.0,0.7746
compassionate,2.2,0.87178
compassionated,1.6,0.66332
compassionately,1.7,1.41774
compassionates,1.6,0.4899
compassionating,1.6,0.91652
compassionless,-2.6,0.8
complain,-1.5,0.67082
complained,-1.7,0.64031
complainer,-1.8,0.4
complainingly,-1.7,0.64031
complains,-1.6,0.66332
complaints,-1.7,0.45826
compliment,2.1,0.7
complimentarily,1.7,0.45826
complimentary,1.9,0.7
complimented,1.8,1.4
complimenting,2.3,0.64031
compliments,1.7,0.45826
condemn,-1.6,1.0198
condemnation,-2.8,0.9798
condemns,-2.3,0.64031
confidence,2.3,0.64031
confident,2.2,0.87178
confidently,2.1,0.53852
conflicting,-1.7,0.64031
conflictive,-1.8,0.6
conflicts,-1.6,0.8
confrontational,-1.6,0.66332
confrontations,-1.5,1.0247
confusedness,-1.5,0.67082
congrats,2.4,0.91652
congratulate,2.2,1.249
congratulation,2.9,0.9434
congratulations,2.9,0.53852
considerate,1.9,1.22066
conspiracy,-2.4,0.66332
contagion,-2.0,1.18322
contagions,-1.5,0.92195
contempt,-2.8,0.6
contemptibilities,-2.0,1.09545
contemptibleness,-1.9,0.7
contemptuously,-2.4,0.8
contentedly,1.9,0.9434
contradictious,-1.9,1.04403
contradictors,-1.6,0.66332
convinced,1.7,0.64031
convincing,1.7,0.9
convincingly,1.6,0.66332
corpse,-2.7,1.18743
courage,2.2,0.74833
courageous,2.4,0.4899
courageously,2.3,0.78102
courageousness,2.1,0.7
courteous,2.3,0.45826
courtesy,1.5,0.67082
coward,-2.0,0.63246
cowardly,-1.6,0.8
coziness,1.5,1.11803
crap,-1.6,0.66332
crappy,-2.6,0.8
crash,-1.7,1.18743
crazily,-1.5,0.67082
craziness,-1.6,0.66332
creations,1.6,0.91652
creative,1.9,0.53852
creatively,1.5,0.80623
creativeness,1.8,1.07703
creativities,1.7,1.00499
creativity,1.6,0.8
credit,1.6,0.91652
creditability,1.9,1.3
creditable,1.8,0.6
creditably,1.7,0.78102
credited,1.5,1.11803
credits,1.5,1.0247
creditworthiness,1.9,1.3
creditworthy,2.4,0.66332
crestfallen,-2.5,0.67082
cried,-1.6,0.8
cries,-1.7,0.64031
crime,-2.5,0.80623
criminal,-2.4,0.91652
criminals,-2.7,0.9
crisis,-3.1,0.7
criticise,-1.9,0.53852
criticised,-1.8,0.4
criticising,-1.7,0.78102
criticism,-1.9,0.53852
criticize,-1.6,1.0198
criticized,-1.5,0.92195
criticizer,-1.5,0.67082
criticizers,-1.6,0.4899
criticizing,-1.5,0.67082
crude,-2.7,0.64031
crudeness,-2.0,0.7746
crudenesses,-2.0,1.0
cruder,-2.0,0.89443
crudest,-2.4,1.0198
cruel,-2.8,1.16619
crueler,-2.3,0.45826
cruelest,-2.6,0.8
crueller,-2.4,0.4899
cruellest,-2.9,1.04403
cruelly,-2.8,0.4
cruelness,-2.9,0.3
cruelties,-2.3,1.00499
cruelty,-2.9,0.83066
crushed,-1.8,0.6
crushes,-1.9,0.53852
cry,-2.1,0.53852
crying,-2.1,0.7
cunts,-2.9,1.44568
curse,-2.5,0.67082
cute,2.0,0.63246
cuteness,2.3,0.45826
cutenesses,1.9,0.53852
cuter,2.3,0.9
cutes,1.8,0.87178
cutesier,1.5,1.20416
cutesiest,2.2,1.4
cutest,2.8,0.87178
cutesy,2.1,0.83066
cutey,2.1,1.04403
cuteys,1.5,1.0247
cutie,1.5,0.80623
cutiepie,2.0,1.09545
cuties,2.2,0.6
cynical,-1.6,0.66332
cynicism,-1.7,0.64031
cynicisms,-1.7,0.78102
d-:,1.6,0.66332
damage,-2.2,0.4
damaged,-1.9,0.53852
damager,-1.9,0.53852
damagers,-2.0,0.63246
damages,-1.9,1.04403
damaging,-2.3,0.9
damagingly,-2.0,0.7746
damn,-1.7,0.64031
damnable,-1.7,0.45826
damnableness,-1.8,0.74833
damnably,-1.7,0.45826
damnation,-2.6,1.0198
damnatory,-2.6,1.42829
damned,-1.6,0.66332
damnified,-2.8,0.9798
damnifies,-1.8,0.87178
damnify,-2.2,0.74833
damnifying,-2.4,0.66332
damnit,-2.4,1.0198
damns,-2.2,0.74833
danger,-2.4,0.91652
dangered,-2.4,0.66332
dangering,-2.5,0.80623
dangerous,-2.1,0.3
dangerously,-2.0,0.44721
dangerousness,-2.0,0.44721
dangers,-2.2,0.87178
daring,1.5,1.5
daringly,2.1,0.7
darkest,-2.2,0.6
darling,2.8,0.6
darlingly,1.6,0.66332
darlingness,2.3,0.45826
darlings,2.2,0.4
dauntless,2.3,0.78102
dead,-3.3,1.00499
dear,1.6,1.35647
dearer,1.9,0.7
dearest,2.6,0.8
dearie,2.2,0.6
dearly,1.8,1.07703
dearness,2.0,0.7746
dears,1.9,0.83066
dearth,-2.3,1.00499
deary,1.9,0.83066
death,-2.9,1.04403
debt,-1.5,1.0247
decay,-1.7,0.45826
decayed,-1.6,0.91652
decayer,-1.6,0.4899
decayers,-1.6,0.4899
decaying,-1.7,0.64031
decays,-1.7,0.45826
deceit,-2.0,1.34164
deceitful,-1.9,1.22066
deceive,-1.7,0.64031
deceived,-1.9,1.3
deception,-1.9,1.04403
dedicated,2.0,0.44721
defeated,-2.1,0.83066
defeating,-1.6,0.66332
defeatist,-1.7,0.9
defeatists,-2.1,0.9434
defeature,-1.9,1.22066
defeatures,-1.5,1.20416
defected,-1.7,0.64031
defecting,-1.8,0.6
defections,-1.5,0.67082
defective,-1.9,0.53852
defectively,-2.1,0.83066
defectiveness,-1.8,0.74833
defectives,-1.8,0.74833
defector,-1.9,0.53852
defects,-1.7,0.9
deficit,-1.7,0.78102
definitely,1.7,0.64031
degradation,-2.4,1.0198
degradations,-1.5,0.67082
degradative,-2.0,0.63246
degrade,-1.9,0.7
degraded,-1.8,0.87178
degrader,-2.0,0.63246
degraders,-2.0,0.63246
degrades,-2.1,0.83066
degrading,-2.8,0.87178
degradingly,-2.7,0.64031
dehumanized,-1.9,0.7
dehumanizes,-1.5,0.67082
dehumanizing,-2.4,0.91652
deject,-2.2,0.6
dejected,-2.2,0.74833
dejecting,-2.3,0.64031
dejects,-2.0,0.63246
delectable,2.9,0.83066
delectably,2.8,0.74833
delicious,2.7,0.64031
deliciously,1.9,0.83066
deliciousness,1.8,0.87178
delight,2.9,0.7
delighted,2.3,0.64031
delightedly,2.4,0.4899
delightedness,2.1,0.53852
delighter,2.0,0.63246
delighters,2.6,0.66332
delightful,2.8,0.6
delightfully,2.7,0.45826
delightfulness,2.1,0.7
delightsome,2.3,0.45826
denied,-1.9,0.53852
denier,-1.5,0.67082
denies,-1.8,0.6
denounces,-1.9,0.7
depress,-2.2,0.74833
depressant,-1.6,1.11355
depressants,-1.6,0.91652
depressed,-2.3,0.45826
depresses,-2.2,0.6
depressible,-1.7,0.78102
depressing,-1.6,1.28062
depressingly,-2.3,0.45826
depression,-2.7,0.64031
depressions,-2.2,0.6
depressive,-1.6,1.11355
depressively,-2.1,0.53852
depressives,-1.5,0.5
depressor,-1.8,1.16619
depressors,-1.7,0.9
deprival,-2.1,0.7
deprivation,-1.8,1.4
deprivations,-1.8,0.74833
deprive,-2.1,0.7
deprived,-2.1,0.7
depriver,-1.6,0.91652
deprives,-1.7,0.64031
depriving,-2.0,0.0
deriding,-1.5,0.80623
desire,1.7,0.78102
despaired,-2.7,0.45826
despairing,-2.3,0.64031
despairingly,-2.2,0.74833
despairs,-2.7,1.00499
desperately,-1.6,1.11355
desperateness,-1.5,1.36015
desperation,-2.0,1.0
despised,-1.7,1.48661
despisement,-2.4,0.91652
despisements,-2.5,1.0247
despiser,-1.8,1.07703
despisers,-1.6,1.35647
despises,-2.0,1.26491
despising,-2.7,0.9
despondent,-2.1,0.53852
destroy,-2.5,0.67082
destroyed,-2.2,0.87178
destroyer,-2.0,0.89443
destroyers,-2.3,0.78102
destroying,-2.6,0.91652
destroys,-2.6,0.4899
destruct,-2.4,0.4899
destructed,-1.9,1.04403
destructibility,-1.8,1.07703
destructible,-1.5,1.11803
destructing,-2.5,0.67082
destruction,-2.7,0.9
destructionist,-2.6,0.8
destructionists,-2.1,0.53852
destructions,-2.3,0.78102
destructive,-3.0,0.63246
destructively,-2.4,0.91652
destructiveness,-2.4,0.91652
destructs,-2.4,0.91652
detain,-1.8,0.9798
detained,-1.7,0.9
detention,-1.5,0.67082
determination,1.7,0.78102
devastate,-3.1,0.9434
devastated,-3.0,0.89443
devastates,-2.8,0.9798
devastating,-3.3,0.9
devastatingly,-2.4,1.28062
devastative,-3.2,1.16619
devastator,-2.8,0.74833
devastators,-2.9,1.22066
devil,-3.4,0.8
deviled,-1.6,1.0198
deviling,-2.2,0.87178
devilish,-2.1,1.04403
devilishly,-1.6,0.8
devilishness,-2.3,0.9
devilkin,-2.4,0.91652
devilled,-2.3,1.1
devilling,-1.8,1.249
devilment,-1.9,0.9434
devilries,-1.6,1.35647
devilry,-2.8,1.249
devils,-2.7,0.9
deviltries,-1.5,1.11803
deviltry,-2.8,1.32665
devoted,1.7,1.34536
devotedly,1.6,1.35647
devotedness,2.0,1.0
devotee,1.6,1.11355
devotement,1.5,1.36015
devotes,1.6,0.91652
devoting,2.1,0.7
devotion,2.0,1.0
devotionally,2.2,0.4
devotions,1.8,0.74833
dick,-2.3,1.18743
dickhead,-3.1,0.53852
die,-2.9,0.9434
died,-2.6,1.28062
difficult,-1.5,0.5
difficultly,-1.7,0.45826
dignified,2.2,0.6
dignifies,2.0,0.7746
