token,mean_sentiment_rating,standard deviation
hurtfully,-2.6,0.66332
hurting,-1.7,0.78102
hurts,-2.1,0.83066
hypocritical,-2.0,0.89443
hysteria,-1.9,0.7
ideal,2.4,1.2
idealess,-1.9,1.3
idealised,2.1,0.83066
idealises,2.0,0.89443
idealism,1.7,1.1
idealistic,1.8,0.9798
idealistically,1.7,1.1
idealities,1.5,0.67082
ideality,1.9,0.9434
idealization,1.8,0.9798
idealized,1.8,0.74833
idealizers,1.9,1.37477
idealizes,2.0,1.0
idealless,-1.7,1.00499
ideally,1.8,1.16619
idiot,-2.3,0.64031
idiotic,-2.6,0.91652
ignorami,-1.9,0.83066
ignoramus,-1.9,0.83066
ignoramuses,-2.3,1.1
ignorance,-1.5,1.20416
ignorantly,-1.6,0.91652
ignore,-1.5,0.67082
ignoring,-1.7,0.64031
ill,-1.8,0.9798
illegal,-2.6,0.8
illiteracy,-1.9,0.7
illness,-1.7,0.64031
illnesses,-2.2,0.74833
imbecile,-2.2,0.9798
immoral,-2.0,1.09545
immoralism,-1.6,0.91652
immoralist,-2.1,0.3
immoralists,-1.7,0.78102
immorally,-2.1,0.7
impatience,-1.8,0.4
impatiently,-1.7,0.64031
impolite,-1.6,0.66332
impolitely,-1.8,0.6
impoliteness,-1.8,0.87178
impolitenesses,-2.3,0.78102
importance,1.5,0.80623
impress,1.9,0.53852
impressed,2.1,0.3
impresses,2.1,0.3
impressing,2.5,0.92195
impressionistic,1.5,1.20416
impressionistically,1.6,0.8
impressive,2.3,0.78102
impressively,2.0,0.89443
impressiveness,1.7,0.64031
imprisoned,-2.0,1.0
improve,1.9,0.7
improved,2.1,0.7
improvement,2.0,0.63246
improver,1.8,0.6
improves,1.8,1.07703
improving,1.8,0.4
inability,-1.7,0.9
inadequacies,-1.7,0.64031
inadequacy,-1.7,0.78102
inadequate,-1.7,0.64031
inadequateness,-1.7,0.45826
inadequatenesses,-1.6,0.91652
incapable,-1.6,0.4899
incapacitated,-1.9,0.9434
incensed,-2.0,1.0
incentive,1.5,1.0247
incompetence,-2.3,0.45826
incompetent,-2.1,0.83066
inconsiderate,-1.9,0.7
inconvenience,-1.5,0.5
indignant,-1.8,0.74833
indignation,-2.4,0.8
ineffectuality,-1.6,0.66332
infected,-2.2,0.6
inferior,-1.7,0.78102
inferiorities,-1.9,0.7
inferiorly,-2.0,0.63246
influential,1.9,1.04403
infringement,-2.1,0.83066
infuriate,-2.2,0.87178
infuriated,-3.0,0.7746
infuriates,-2.6,0.8
infuriating,-2.4,1.42829
inhibit,-1.6,0.4899
inhibition,-1.5,0.67082
injured,-1.7,0.64031
injury,-1.8,0.6
injustice,-2.7,0.64031
innocence,1.6,0.91652
innocency,1.9,0.83066
innovate,2.2,0.74833
innovates,2.0,0.89443
innovation,1.6,0.91652
innovative,1.9,0.83066
insane,-1.7,0.78102
insanity,-2.7,1.00499
insecure,-1.8,0.74833
insecureness,-1.8,0.87178
insecurities,-1.8,0.6
insecurity,-1.8,0.74833
insensitivity,-1.8,0.6
insincere,-1.8,0.6
insincerely,-1.9,0.7
insipid,-2.0,0.7746
inspiration,2.4,0.8
inspirational,2.3,0.64031
inspirationally,2.3,0.64031
inspirations,2.1,0.53852
inspirator,1.9,1.22066
inspiratory,1.5,0.67082
inspire,2.7,0.78102
inspired,2.2,0.87178
inspirer,2.2,1.07703
inspirers,2.0,0.63246
inspires,1.9,1.04403
inspiring,1.8,1.07703
inspiringly,2.6,0.4899
inspirit,1.9,0.7
inspiriting,1.8,0.4
inspiritingly,2.1,1.44568
insult,-2.3,1.00499
insulted,-2.3,0.45826
insulter,-2.0,0.63246
insulters,-2.0,0.44721
insulting,-2.2,0.74833
insultingly,-2.3,0.78102
insults,-1.8,0.6
integrity,1.6,0.66332
intellect,2.0,1.09545
intellective,1.7,0.78102
intellects,1.8,0.87178
intellectual,2.3,0.9
intellectualism,2.2,1.07703
intellectualist,2.0,1.0
intellectualities,1.7,1.34536
intellectuality,1.7,1.1
intellectualization,1.5,1.11803
intellectualize,1.5,0.92195
intellectualizes,1.8,0.87178
intellectualness,1.5,0.80623
intellectuals,1.6,0.8
intelligence,2.1,0.9434
intelligencer,1.5,0.80623
intelligencers,1.6,0.91652
intelligences,1.6,0.91652
intelligent,2.0,0.7746
intelligential,1.9,0.9434
intelligently,2.0,0.63246
intelligentsia,1.5,1.20416
intelligibility,1.5,0.80623
intelligibleness,1.5,1.20416
interest,2.0,1.18322
interested,1.7,0.45826
interestedly,1.5,0.67082
interesting,1.7,0.78102
interestingly,1.7,0.45826
interestingness,1.8,0.87178
interrogated,-1.6,1.0198
interruption,-1.5,0.67082
interruptions,-1.7,0.45826
intimidated,-1.9,0.7
intimidating,-1.9,1.04403
intimidation,-1.8,1.249
intimidator,-1.6,0.4899
intimidators,-1.6,0.8
invigorate,1.9,0.83066
invigorates,2.1,0.53852
invigorating,2.1,0.7
invigoratingly,2.0,0.63246
invigoration,1.5,1.36015
irate,-2.9,0.53852
irrationalism,-1.5,0.5
irrationalist,-2.1,0.9434
irrationalists,-1.5,0.92195
irrationalities,-1.5,0.80623
irrationality,-1.7,0.9
irrationally,-1.6,0.4899
irresponsible,-1.9,0.3
irritabilities,-1.7,0.64031
irritable,-2.1,0.7
irritableness,-1.7,0.64031
irritably,-1.8,0.6
irritant,-2.3,0.78102
irritants,-2.1,0.83066
irritate,-1.8,0.6
irritated,-2.0,0.63246
irritates,-1.7,0.78102
irritating,-2.0,0.63246
irritatingly,-2.0,0.44721
irritation,-2.3,0.78102
irritations,-1.5,0.67082
irritative,-2.0,0.63246
isolation,-1.7,0.78102
jackass,-1.8,1.07703
jackasses,-2.8,0.9798
jaded,-1.6,0.66332
jailed,-2.2,0.87178
jealous,-2.0,0.63246
jealousies,-2.0,0.63246
jealously,-2.0,0.89443
jealousness,-1.7,0.45826
jeopardy,-2.1,0.9434
jewel,1.5,1.20416
jewels,2.0,1.34164
jokester,1.5,0.67082
jollied,2.4,0.66332
jollier,2.4,0.4899
jollies,2.0,0.63246
jolliest,2.9,0.7
jollification,2.2,0.74833
jollifications,2.0,0.7746
jollify,2.1,0.53852
jollily,2.7,0.64031
jolliness,2.5,0.67082
jollities,1.7,0.64031
jolly,2.3,1.00499
jollying,2.3,0.64031
jovial,1.9,0.53852
joy,2.8,0.74833
joyance,2.3,0.9
joyed,2.9,0.3
joyful,2.9,0.53852
joyfuller,2.4,0.66332
joyfully,2.5,0.67082
joyfulness,2.7,1.00499
joying,2.5,0.67082
joyless,-2.5,0.67082
joylessly,-1.7,1.1
joylessness,-2.7,0.9
joyous,3.1,0.7
joyously,2.9,0.7
joyousness,2.8,0.74833
joys,2.2,0.4
jubilant,3.0,0.63246
justice,2.4,1.0198
justified,1.7,0.64031
keen,1.5,0.67082
keenest,1.9,0.83066
kill,-3.7,0.45826
killed,-3.5,0.67082
killer,-3.3,0.64031
killers,-3.3,0.45826
killing,-3.4,1.2
killingly,-2.6,1.0198
killings,-3.5,0.67082
killjoy,-2.1,0.83066
killjoys,-1.7,0.9
kills,-2.5,0.92195
kind,2.4,0.66332
kinder,2.2,0.6
kindly,2.2,0.4
kindness,2.0,0.63246
kindnesses,2.3,0.64031
kissable,2.0,0.89443
kissably,1.9,1.04403
kissed,1.6,1.11355
kisser,1.7,1.34536
kissers,1.5,0.80623
kisses,2.3,0.9
kissing,2.7,0.78102
kissy,1.8,0.6
kudos,2.3,0.64031
lackadaisical,-1.6,0.66332
lags,-1.5,0.67082
lame,-1.8,0.74833
lamebrain,-1.6,0.91652
lamebrained,-2.5,0.67082
lamely,-2.0,0.89443
lament,-2.0,1.26491
lamentable,-1.5,1.0247
lamentably,-1.5,0.80623
lamentations,-1.9,1.44568
lamenting,-2.0,1.09545
laments,-1.5,0.80623
lamest,-1.5,1.28452
laugh,2.6,0.66332
laughed,2.0,0.63246
laugher,1.7,0.45826
laughers,1.7,0.9
laughing,2.2,0.87178
laughingly,2.3,1.1
laughings,1.9,0.7
laughs,2.2,0.6
laughter,2.2,0.6
laughters,2.2,0.6
lazier,-2.3,0.64031
laziest,-2.7,0.64031
lazy,-1.5,1.36015
liar,-2.3,0.78102
liars,-2.4,0.66332
libelous,-2.1,1.3
liberties,2.3,0.78102
liberty,2.4,0.91652
lied,-1.6,1.2
lies,-1.8,0.9798
lifesaver,2.8,0.74833
lighthearted,1.8,0.4
like,1.5,0.67082
likeable,2.0,0.63246
liked,1.8,0.6
likes,1.8,0.6
liking,1.7,0.78102
livelier,1.7,0.78102
liveliest,2.1,0.9434
livelily,1.8,0.6
liveliness,1.6,0.8
livelong,1.7,0.78102
lively,1.9,0.7
livid,-2.5,0.92195
lmao,2.9,0.9434
loathed,-2.1,1.44568
loathes,-1.9,1.13578
loathing,-2.7,0.78102
lol,1.8,1.46969
loneliest,-2.4,0.8
loneliness,-1.8,0.6
lonelinesses,-1.5,1.36015
lonely,-1.5,0.5
lonesome,-1.5,0.67082
lonesomeness,-1.8,0.6
lose,-1.7,0.45826
loser,-2.4,0.66332
losers,-2.4,0.8
losing,-1.6,0.8
losses,-1.7,0.9
louse,-1.6,1.2
lousier,-2.2,0.4
lousiest,-2.6,0.8
lousiness,-1.7,0.64031
lousy,-2.5,0.67082
lovable,3.0,0.63246
loved,2.9,0.7
lovelies,2.2,0.74833
lovely,2.8,0.6
lover,2.8,0.87178
loverly,2.8,0.74833
lovers,2.4,1.11355
loves,2.7,0.9
loving,2.9,0.53852
lovingly,3.2,0.6
lowballed,-1.5,0.67082
lowbred,-2.6,1.0198
lowbrow,-1.9,0.7
lowery,-1.8,0.87178
lowest,-1.6,0.4899
lowlier,-1.7,0.78102
lowlife,-1.5,0.67082
lowlifes,-2.2,1.249
lowlight,-2.0,1.26491
lowlives,-2.1,0.7
loyal,2.1,0.7
loyalist,1.5,0.92195
loyally,2.1,0.7
loyalties,1.9,0.7
loyalty,2.5,0.67082
luck,2.0,0.63246
lucked,1.9,0.7
luckie,1.6,0.66332
luckier,1.9,0.7
luckiest,2.9,0.7
luckily,2.3,0.45826
lucks,1.6,0.91652
lucky,1.8,0.74833
ludicrous,-1.5,1.36015
lugubrious,-2.1,1.37477
lulz,2.0,1.0
lunatic,-2.2,1.32665
lying,-2.4,0.8
mad,-2.2,0.74833
maddening,-2.2,0.74833
maddest,-2.8,1.16619
madly,-1.7,1.1
madness,-1.9,0.53852
magnific,2.3,1.1
magnifical,2.4,1.28062
magnifically,2.4,1.2
magnificence,2.4,1.0198
magnificences,2.3,0.9
magnificent,2.9,0.7
magnificently,3.4,0.66332
magnifico,1.8,0.87178
maniac,-2.1,0.7
maniacally,-1.7,0.78102
manipulated,-1.6,0.4899
manipulating,-1.5,0.80623
marvel,1.8,0.6
marvelous,2.9,0.7
marvels,2.0,0.89443
masochism,-1.6,1.11355
masochist,-1.7,0.9
masochistic,-2.2,1.16619
masochistically,-1.6,1.35647
masterpiece,3.1,0.83066
masterpieces,2.5,0.67082
mature,1.8,0.4
meaningless,-1.9,0.7
medal,2.1,1.22066
melancholiac,-2.0,0.63246
melancholias,-1.6,0.8
melancholy,-1.9,1.13578
menace,-2.2,0.87178
menaced,-1.7,1.48661
mercy,1.5,0.67082
merit,1.8,0.74833
meritorious,2.1,0.53852
meritoriousness,1.7,1.18743
merits,1.7,0.78102
merrier,1.7,1.41774
merriest,2.7,1.41774
merrily,2.4,0.66332
merriment,2.4,1.35647
merriments,2.0,0.89443
merriness,2.2,0.74833
merry,2.5,0.80623
merrymaker,2.2,1.4
merrymakers,1.7,1.34536
merrymaking,2.2,0.6
merrymakings,2.4,1.11355
merrythoughts,1.6,1.11355
mess,-1.5,0.92195
messy,-1.5,0.80623
mindless,-1.9,0.7
miracle,2.8,0.87178
mirth,2.6,0.66332
mirthful,2.7,0.45826
mirthfully,2.0,1.48324
misbehave,-1.9,0.7
misbehaved,-1.6,0.4899
misbehaves,-1.6,0.4899
misbehaving,-1.7,0.64031
mischief,-1.5,0.67082
miser,-1.8,0.87178
miserable,-2.2,1.32665
miserableness,-2.8,0.6
miserably,-2.1,1.37477
miseries,-2.7,0.78102
miserliness,-2.6,1.0198
misers,-1.5,0.92195
misery,-2.7,0.45826
misinformed,-1.6,0.4899
misleading,-1.7,0.64031
misreporting,-1.5,0.5
misrepresentation,-2.0,0.63246
mistaken,-1.5,0.67082
mistaker,-1.6,0.4899
mistakers,-1.6,0.8
mistakes,-1.5,0.67082
misunderstand,-1.5,0.67082
misunderstanding,-1.8,0.6
mock,-1.8,0.74833
mockeries,-1.6,0.8
mocking,-1.7,0.64031
mocks,-2.0,0.63246
molestations,-2.9,1.04403
molests,-3.1,1.13578
mooch,-1.7,0.9
moocher,-1.5,0.67082
moochers,-1.9,0.7
mooching,-1.7,0.64031
moodiest,-2.1,0.9434
moody,-1.5,0.67082
mope,-1.9,0.53852
moron,-2.2,0.6
moronic,-2.7,0.64031
motherfucker,-3.6,0.66332
motherfucking,-2.8,1.249
motivate,1.6,0.4899
motivated,2.0,0.63246
motivating,2.2,0.6
mourn,-1.8,0.6
mourner,-1.6,1.35647
mourners,-1.8,0.74833
mournfuller,-1.9,0.9434
mournfulness,-1.8,1.4
mourning,-1.9,1.04403
mourningly,-2.3,1.18743
mourns,-2.4,0.66332
muah,2.3,1.26886
murder,-3.7,0.64031
murdered,-3.4,0.66332
murderee,-3.2,0.6
murderees,-3.1,0.7
murderer,-3.6,0.4899
murderers,-3.3,0.78102
murderesses,-2.6,0.8
murdering,-3.3,0.78102
murderous,-3.2,0.74833
murderously,-3.1,0.9434
murderousness,-2.9,0.7
n00b,-1.6,0.8
nag,-1.5,0.80623
nagana,-1.7,0.9
nagged,-1.7,0.45826
nagger,-1.8,0.4
naggers,-1.5,0.67082
naggiest,-2.4,0.91652
nagging,-1.7,0.64031
naggy,-1.7,0.64031
nastier,-2.3,0.45826
nasties,-2.1,0.3
nastily,-1.9,0.7
nastinesses,-2.6,0.66332
nasty,-2.6,1.0198
natural,1.5,1.0247
neat,2.0,0.89443
neatened,2.0,1.09545
neatest,1.7,0.64031
negative,-2.7,0.9
negativity,-2.3,0.45826
neglect,-2.0,0.63246
neglected,-2.4,1.0198
neglecter,-1.7,0.64031
neglecters,-1.5,0.67082
neglectful,-2.0,0.63246
neglectfully,-2.1,0.9434
neglectfulness,-2.0,0.63246
neglecting,-1.7,0.78102
neglects,-2.2,0.4
neurotically,-1.8,1.16619
nice,1.8,0.74833
nicely,1.9,0.83066
niceness,1.6,0.66332
nicenesses,2.1,1.22066
nicer,1.9,0.53852
nicest,2.2,0.87178
niceties,1.5,1.20416
nifty,1.7,0.64031
nigger,-3.3,1.18743
noble,2.0,0.89443
nonsense,-1.7,0.64031
notorious,-1.9,1.3
numbskull,-2.3,1.41774
numbskulls,-2.2,1.07703
nurtural,1.5,0.80623
nurturance,1.6,0.8
nurturant,1.7,0.78102
nurtured,1.9,0.9434
nurturer,1.9,0.83066
nurtures,1.9,0.83066
nurturing,2.0,0.63246
o/\o,2.1,1.04403
obliterate,-2.9,0.83066
obliterated,-2.1,1.3
obnoxious,-2.0,0.44721
obnoxiously,-2.3,0.64031
obnoxiousness,-2.1,0.7
obscene,-2.8,0.87178
obsessional,-1.5,0.92195
obstacle,-1.5,1.0247
obstacles,-1.6,0.8
offender,-1.5,1.28452
offenders,-1.5,1.28452
offending,-2.3,0.64031
offends,-2.0,0.7746
offenses,-1.5,1.5
offensive,-2.0,1.48324
offensively,-2.8,0.87178
offensiveness,-2.3,0.45826
okays,2.1,1.13578
once-in-a-lifetime,1.8,1.4
opportune,1.7,0.78102
opportunely,1.5,1.0247
opportunities,1.6,0.4899
opportunity,1.8,0.6
oppressed,-2.1,0.53852
oppressive,-1.7,1.34536
optimal,1.5,0.67082
optimality,1.9,0.7
optimisation,1.6,0.8
optimisations,1.8,0.6
optimise,1.9,0.83066
optimised,1.7,1.26886
optimises,1.6,1.0198
optimising,1.7,1.00499
optimism,2.5,0.67082
optimisms,2.0,0.63246
optimist,2.4,0.4899
optimistically,2.1,0.53852
optimists,1.6,0.66332
optimization,1.6,0.8
optimize,2.2,0.87178
optimized,2.0,0.44721
optimizer,1.5,0.67082
optimizers,2.1,0.7
optimizes,1.8,0.6
optimizing,2.0,0.7746
optionless,-1.7,0.64031
outcry,-2.3,0.64031
outrage,-2.3,1.00499
outraged,-2.5,0.92195
outrageous,-2.0,1.34164
outrages,-2.3,1.00499
outraging,-2.0,1.18322
outstanding,3.0,0.89443
overjoyed,2.7,0.78102
overload,-1.5,0.67082
overreacted,-1.7,0.64031
overreacts,-2.2,0.87178
overweight,-1.5,0.67082
pain,-2.3,0.64031
pained,-1.8,0.6
painful,-1.9,0.9434
painfuller,-1.7,1.34536
painfully,-2.4,0.4899
painfulness,-2.7,0.64031
paining,-1.7,0.45826
pains,-1.8,0.6
palatable,1.6,0.8
panic,-2.3,0.64031
panicking,-1.9,0.53852
panicky,-1.5,0.67082
panics,-1.9,1.3
paradise,3.2,0.9798
paranoias,-1.5,1.0247
paranoids,-1.6,0.91652
pardoning,1.7,0.78102
parties,1.7,0.78102
party,1.7,0.78102
partying,1.6,1.11355
passion,2.0,0.44721
passional,1.6,0.8
passionate,2.4,1.35647
passionately,2.4,0.91652
passionateness,2.3,0.64031
passionless,-1.9,0.7
passions,2.2,0.6
pathetic,-2.7,1.48661
peace,2.5,1.0247
peaceable,1.7,0.45826
peaceableness,1.8,1.16619
peaceably,2.0,0.63246
peaceful,2.2,0.74833
peacefuller,1.9,0.7
peacefullest,3.1,0.7
peacefully,2.4,0.66332
peacefulness,2.1,0.83066
peacekeeper,1.6,1.11355
peacekeepers,1.6,1.11355
peacekeeping,2.0,0.63246
peacekeepings,1.6,0.8
peacemaker,2.0,0.89443
peacemakers,2.4,1.0198
peacemaking,1.7,0.78102
peaces,2.1,0.83066
peacetime,2.2,1.16619
peacetimes,2.1,0.83066
penalty,-2.0,0.63246
perfect,2.7,0.78102
perfected,2.7,0.78102
perfecter,1.8,0.9798
perfectest,3.1,1.04403
perfectibilities,2.1,1.04403
perfectibility,1.8,1.249
perfectible,1.5,0.67082
perfecting,2.3,0.9
perfection,2.7,1.1
perfectionist,1.5,1.20416
perfections,2.5,1.43178
perfectively,2.1,1.13578
perfectivity,2.2,0.9798
perfectly,3.2,0.4
perfectness,3.0,0.63246
perfects,1.6,1.11355
perjury,-1.9,0.9434
perpetrator,-2.2,0.74833
persecute,-2.1,1.37477
perversely,-2.2,0.87178
perverseness,-2.1,1.22066
perversity,-2.6,0.8
perversive,-2.1,0.7
pervert,-2.3,0.9
perverter,-1.7,1.48661
perverts,-2.8,0.6
pessimism,-1.5,1.36015
pessimisms,-2.0,1.0
pessimist,-1.5,1.36015
pessimistic,-1.5,1.43178
pessimistically,-2.0,1.0
petrifaction,-1.9,1.3
petrified,-2.5,0.92195
petrifies,-2.3,1.00499
petrify,-1.7,0.9
petrifying,-2.6,0.8
phobia,-1.6,1.0198
phobias,-2.0,1.0
picturesque,1.6,1.11355
piss,-1.7,0.9
pissant,-1.5,1.5
pissants,-2.5,0.80623
pissed,-3.2,0.6
pisser,-2.0,1.09545
pissing,-1.7,1.26886
pitiful,-2.2,0.9798
pitifuller,-1.8,1.07703
pitiless,-1.8,0.87178
pitilessly,-2.1,0.7
playful,1.9,0.83066
playfully,1.6,0.4899
pleasant,2.3,0.64031
pleasanter,1.5,0.67082
pleasantest,2.6,0.8
pleasantly,2.1,0.53852
pleasantness,2.3,0.9
pleasantnesses,2.3,0.78102
pleasantry,2.0,0.7746
pleaser,1.7,0.45826
pleases,1.7,0.45826
pleasing,2.4,0.91652
pleasurability,1.9,0.83066
pleasurable,2.4,0.4899
pleasurableness,2.4,0.91652
pleasurably,2.6,0.4899
pleasure,2.7,0.9
pleasured,2.3,0.64031
pleasureless,-1.6,0.8
pleasures,1.9,1.37477
pleasuring,2.8,0.4
poison,-2.5,0.92195
poisoned,-2.2,0.9798
poisoner,-2.7,0.78102
poisoners,-3.1,0.83066
poisoning,-2.8,1.249
poisonings,-2.4,1.11355
poisonous,-2.7,0.78102
poisonously,-2.9,0.53852
poisons,-2.7,0.9
pollute,-2.3,0.64031
polluted,-2.0,0.44721
polluter,-1.8,0.6
polluters,-2.0,0.44721
pollutes,-2.2,0.87178
poor,-2.1,1.13578
poorest,-2.5,0.80623
popular,1.8,0.74833
popularise,1.6,0.66332
popularities,1.6,0.8
popularity,2.1,1.04403
popularized,1.9,0.83066
popularizer,1.8,0.74833
popularizing,1.5,0.67082
popularly,1.8,0.74833
positive,2.6,0.91652
positively,2.4,0.66332
positiveness,2.3,1.18743
positivenesses,2.2,0.74833
positiver,2.3,0.78102
positives,2.4,0.4899
positivest,2.9,1.04403
positivism,1.6,1.35647
positivisms,1.8,0.9798
positivist,2.0,1.0
positivistic,1.9,0.83066
positivists,1.7,1.1
positivities,2.6,0.91652
positivity,2.3,0.9
poverty,-2.3,1.00499
powerful,1.8,0.9798
powerless,-2.2,0.6
praise,2.6,0.8
praised,2.2,0.6
praiser,2.0,0.89443
praisers,2.0,0.63246
praises,2.4,0.4899
praiseworthily,1.9,0.7
praiseworthiness,2.4,0.8
praiseworthy,2.6,0.4899
praising,2.5,0.67082
praying,1.5,0.92195
prblm,-1.6,0.8
prblms,-2.3,1.00499
precious,2.7,0.64031
preciously,2.2,0.74833
preciousness,1.9,0.83066
prejudice,-2.3,0.78102
prejudiced,-1.9,0.53852
prejudices,-1.8,0.74833
prejudicial,-2.6,0.8
prejudicialness,-2.4,1.42829
prejudicing,-1.8,1.07703
prettied,1.6,0.66332
prettier,2.1,0.53852
pretties,1.7,0.78102
prettiest,2.7,0.78102
pretty,2.2,0.6
pricklier,-1.6,0.8
prison,-2.3,0.64031
prisoner,-2.5,1.0247
prisoners,-2.3,0.78102
privilege,1.5,0.80623
privileged,1.9,0.9434
privileges,1.6,1.2
prize,2.3,1.1
prized,2.4,0.8
prizes,2.0,1.09545
prizewinner,2.3,1.00499
prizewinners,2.4,1.11355
prizewinning,3.0,0.7746
proactive,1.8,0.87178
problem,-1.7,0.64031
problematic,-1.9,0.53852
problematical,-1.8,0.6
problematically,-2.0,1.0
problems,-1.7,0.78102
profit,1.9,0.7
profitable,1.9,0.9434
profitableness,2.4,1.11355
profitably,1.6,0.91652
profiting,1.6,0.91652
profitless,-1.5,0.92195
profits,1.9,1.04403
progress,1.8,0.74833
promiscuity,-1.8,1.07703
promiscuously,-1.5,1.28452
promised,1.5,0.92195
promisers,1.6,0.4899
promises,1.6,0.8
promising,1.7,0.45826
promote,1.6,0.8
promoted,1.8,0.74833
promoting,1.5,0.67082
prosecute,-1.7,1.00499
prosecution,-2.2,1.07703
protect,1.6,0.8
protected,1.9,0.7
protesting,-1.8,0.74833
proud,2.1,0.3
prouder,2.2,1.16619
proudest,2.6,0.66332
proudly,2.6,0.4899
provoke,-1.7,0.64031
puke,-2.4,1.0198
puked,-1.8,0.6
pukes,-1.9,0.7
puking,-1.8,1.46969
pukka,2.8,0.4
punish,-2.4,0.91652
punishabilities,-1.7,0.78102
punishability,-1.6,1.49666
punishable,-1.9,0.7
punished,-2.0,0.44721
punisher,-1.9,0.53852
punishers,-2.6,0.8
punishes,-2.1,0.7
punishing,-2.6,0.8
punishment,-2.2,0.6
punishments,-1.8,0.6
punitive,-2.3,0.78102
quaking,-1.5,0.67082
racism,-3.1,0.9434
racist,-3.0,0.89443
racists,-2.5,0.92195
radiant,2.1,0.83066
rage,-2.6,0.8
raged,-2.0,0.63246
rageful,-2.8,0.6
rages,-2.1,0.7
raging,-2.4,1.0198
rancid,-2.5,1.11803
rancidity,-2.6,0.8
rancidly,-2.5,1.20416
rancidness,-2.6,0.91652
rancidnesses,-1.6,0.4899
rape,-3.7,0.64031
raped,-3.6,0.4899
raper,-3.4,0.66332
rapers,-3.6,0.66332
rapes,-3.5,0.67082
raping,-3.8,0.4
rapist,-3.9,0.3
rapists,-3.3,0.64031
rash,-1.7,0.78102
ready,1.5,1.0247
reassurance,1.5,0.5
reassured,1.7,0.45826
reassures,1.5,0.92195
reassuring,1.7,1.48661
reassuringly,1.8,0.87178
rebeldom,-1.5,1.0247
rebelliously,-1.8,0.87178
recession,-1.8,1.07703
reckless,-1.7,0.64031
recommend,1.5,0.67082
reek,-2.4,0.66332
reeked,-2.0,1.09545
reeker,-1.7,1.1
reekers,-1.5,1.0247
reeking,-2.0,1.48324
refusing,-1.7,0.64031
regret,-1.8,0.6
regretful,-1.9,0.83066
regretfully,-1.9,0.83066
regretfulness,-1.6,0.66332
regrets,-1.5,0.5
regrettable,-2.3,0.78102
regrettably,-2.0,0.63246
regretted,-1.6,0.4899
regretter,-1.6,0.66332
regretters,-2.0,0.89443
regretting,-1.7,0.78102
reinvigorate,2.3,0.78102
reinvigorated,1.9,1.13578
reinvigorates,1.8,0.9798
reinvigorating,1.7,0.64031
reinvigoration,2.2,0.4
reject,-1.7,0.64031
rejected,-2.3,0.45826
rejectee,-2.3,0.45826
rejectees,-1.8,0.4
rejecter,-1.6,0.66332
rejecters,-1.8,0.6
rejecting,-2.0,0.7746
rejectingly,-1.7,0.64031
rejection,-2.5,0.67082
rejections,-2.1,0.53852
rejective,-1.8,0.6
rejector,-1.8,0.74833
rejects,-2.2,0.4
rejoice,1.9,0.9434
rejoiced,2.0,0.63246
rejoices,2.1,0.7
rejoicing,2.8,0.4
relax,1.9,1.13578
relaxation,2.4,0.4899
relaxed,2.2,0.87178
relaxedly,1.5,0.5
relaxedness,2.0,0.63246
